IT;化工;生物;教师;士兵
23947;5872;11188;25065;17053
10877;18495;23213;18355;22904
25792;10559;25185;7041;14011
28295;14477;6365;15373;28066
22774;8766;29803;15721;24470
18093;18791;18834;6921;21955
23101;24312;18926;29832;29024
10004;19066;10785;8181;14394
18187;11365;14532;22857;29062
5310;27127;10980;14435;20054
7771;20900;10416;8565;14916
22022;11607;6178;12844;15586
11179;21953;6681;19285;29193
16508;20265;18036;26422;12784
21722;16959;26064;16087;27020
8624;25733;15693;28515;8990
29898;13962;15247;13640;28993
23834;15981;20056;29982;12075
14818;9048;23608;6745;20623
17424;6118;10993;28729;6991
8633;15953;26330;21291;13621
15440;19925;26224;12233;15172
28837;15975;19569;16816;29358
26299;16360;13794;21808;26453
25016;24485;5620;17244;18107
22385;23010;11654;21737;8247
7389;23208;5009;17696;5009
6619;7190;12450;25579;12646
27054;9491;22645;18801;29791
18459;6868;6112;22362;8105
26619;25261;15827;13044;13423
21320;20988;14997;8092;12068
16976;22011;17623;24333;9654
22617;16023;18670;14485;12604
24782;7373;18742;6076;21450
25311;5649;18830;15449;14712
27476;9081;22287;15072;22855
17444;23580;20663;18862;25887
26260;19507;5036;7489;7973
11242;14608;8781;15830;19321
18791;10808;21713;29893;25089
22428;22852;22315;9636;5445
22308;20315;22596;7528;16837
14453;27992;11607;24505;17634
16582;20869;9012;18761;26077
29195;10376;28483;16549;16069
28607;9939;21098;12529;6315
24724;26477;7347;18352;16262
5170;12156;17171;8016;20084
7126;29115;22539;17503;8595
